method,seed,step,loss,query_base,query_new,query_hm,ema_base,ema_new,ema_hm,q_mean,q_std,q_min,q_max,gate_mean,seconds_per_step,initial_full_base,initial_full_new,initial_full_hm,final_full_base,final_full_new,final_full_hm,full_base,full_new,full_hm
q,1,1,3.074909210205078,0.3125,0.375,0.3409090909090909,0.28460595380923814,0.35534963985594237,0.31606762777944414,0.4349415898323059,0.06542246043682098,0.0945984274148941,0.6892102956771851,0.8611923456192017,1.5085281999927247,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,2,2.49688720703125,0.25,0.3125,0.2777777777777778,0.283567775194961,0.3540641506602641,0.31491893491487677,0.43423211574554443,0.06592967361211777,0.09898026287555695,0.6797496676445007,0.8598257303237915,1.500723699995433,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,3,2.6584091186523438,0.3125,0.375,0.3409090909090909,0.2844357419391122,0.35469222614045615,0.31570249321255195,0.43443217873573303,0.06714440882205963,0.09558790922164917,0.6854227781295776,0.8596606254577637,1.501357599995875,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,4,2.0688400268554688,0.25,0.375,0.3,0.28340266968093886,0.35530145935624247,0.31530524869123233,0.4339327812194824,0.0679875835776329,0.09640089422464371,0.6913427114486694,0.8586087226867676,1.504102224997041,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,5,2.4867401123046875,0.3125,0.3125,0.3125,0.2842755895905107,0.3540174155755552,0.31533640106824135,0.43239831924438477,0.068187415599823,0.09481962770223618,0.6837316751480103,0.8557616472244263,1.496681479999097,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,6,2.8931045532226562,0.25,0.375,0.3,0.2832473219027954,0.35464689310828856,0.3149512264892517,0.4338425397872925,0.06843437999486923,0.09628826379776001,0.6826186180114746,0.8579694032669067,1.4963754666653888,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,7,2.0285677909851074,0.3125,0.375,0.3409090909090909,0.2841249022457115,0.35525748631503995,0.31573437234806556,0.43080538511276245,0.06828740984201431,0.09673690050840378,0.6829070448875427,0.8528169989585876,1.4896586428554397,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,8,2.6710643768310547,0.3125,0.3125,0.3125,0.2849761551783402,0.3539747617255888,0.31574997064099874,0.4271101951599121,0.0672001987695694,0.10041482746601105,0.6806513071060181,0.8466547131538391,1.4851424624994252,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,9,2.6249847412109375,0.3125,0.375,0.3409090909090909,0.28580187052299,0.3546055188738211,0.3165076551892084,0.4311397075653076,0.06628063321113586,0.0987105667591095,0.6743060350418091,0.8540076017379761,1.482244322221959,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,10,2.242581367492676,0.25,0.375,0.3,0.2847278144073003,0.3552173533076064,0.31609039570677155,0.4332205653190613,0.06581983715295792,0.09910056740045547,0.6853746771812439,0.8577369451522827,1.4819761899998412,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,11,2.9557342529296875,0.25,0.3125,0.2777777777777778,0.28368597997508127,0.3539358327083782,0.3149410247670385,0.4366404116153717,0.06561963260173798,0.10388584434986115,0.6818634271621704,0.8635486364364624,1.4788918090899559,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,12,2.7340850830078125,0.3125,0.4375,0.3645833333333333,0.28455040057582887,0.35644275772712686,0.3164649362627662,0.4331071972846985,0.0655255913734436,0.1087542399764061,0.6865144371986389,0.8575483560562134,1.4732905916656212,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,13,2.161653518676758,0.375,0.4375,0.40384615384615385,0.287263888558554,0.35887447499531305,0.31910093257593325,0.4303957223892212,0.06530272215604782,0.10600190609693527,0.6961118578910828,0.8528671264648438,1.472552438461347,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,14,2.6496124267578125,0.1875,0.3125,0.234375,0.28427097190179734,0.3574832407454537,0.31670102441905523,0.4297453761100769,0.06537827849388123,0.10791518539190292,0.6953514218330383,0.8517507314682007,1.4705576857138243,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,15,2.3070220947265625,0.25,0.375,0.3,0.28324284274474343,0.3580087435230901,0.3162671762985716,0.42479991912841797,0.06492270529270172,0.10328425467014313,0.6947554349899292,0.8430598974227905,1.469770599999659,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,16,2.1521453857421875,0.25,0.375,0.3,0.2822455574624011,0.3585184812173974,0.31584247081114464,0.42643946409225464,0.06518197804689407,0.10310334712266922,0.6967946887016296,0.8457928895950317,1.4695258124993416,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,17,2.6466140747070312,0.25,0.3125,0.2777777777777778,0.28127819073852905,0.35713792678087547,0.31470104570466334,0.43248093128204346,0.06464125961065292,0.10112612694501877,0.6927011609077454,0.8567959070205688,1.4695545823522158,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,18,2.753549098968506,0.375,0.375,0.375,0.28408984501637313,0.35767378897744917,0.31666328814761296,0.4313519597053528,0.06379000097513199,0.09725474566221237,0.6872230768203735,0.855178952217102,1.4674908222215082,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,19,2.227179527282715,0.3125,0.375,0.3409090909090909,0.28494214966588194,0.3581935753081257,0.3173962925133112,0.4311327040195465,0.06383892893791199,0.09469962865114212,0.686417281627655,0.8546842932701111,1.4663907578942599,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,20,2.5440940856933594,0.3125,0.4375,0.3645833333333333,0.2857688851759055,0.3605727680488819,0.3188421400230676,0.4347686469554901,0.06403519958257675,0.0990198403596878,0.6867198944091797,0.8610573410987854,1.4688029599994479,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,21,2.29034423828125,0.3125,0.25,0.2777777777777778,0.28657081862062833,0.35725558500741544,0.3180330128601364,0.43968644738197327,0.06362061202526093,0.10169912129640579,0.6902327537536621,0.869820237159729,1.4690879095232092,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,22,2.218730926513672,0.4375,0.375,0.40384615384615385,0.29109869406200944,0.35778791745719296,0.3210163183336778,0.43827033042907715,0.06307722628116608,0.10121455043554306,0.6841949820518494,0.867650032043457,1.46725859999953,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,23,2.273101806640625,0.25,0.4375,0.3181818181818182,0.28986573324014914,0.36017927993347715,0.32121969697486225,0.4394495487213135,0.06453800201416016,0.0992591455578804,0.6906254887580872,0.8696384429931641,1.4671009869565277,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,24,2.8064212799072266,0.375,0.375,0.375,0.29241976124294466,0.36062390153547286,0.3229601975979463,0.44218331575393677,0.06569860130548477,0.08439495414495468,0.7011454701423645,0.8738687038421631,1.468461095833239,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,25,2.4678955078125,0.25,0.4375,0.3181818181818182,0.2911471684056563,0.36293018448940867,0.3230996917270915,0.4468661844730377,0.06598828732967377,0.0834098532795906,0.6968944668769836,0.8815808296203613,1.4706626479997067,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,26,2.6591796875,0.3125,0.375,0.3409090909090909,0.2917877533534866,0.3632922789547264,0.32363751803991214,0.4493870139122009,0.06675750017166138,0.08978026360273361,0.6906623840332031,0.8853814005851746,1.4709648769225727,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,27,2.5779380798339844,0.375,0.375,0.375,0.294284120752882,0.3636435105860846,0.3253078474984523,0.4498820900917053,0.06658560782670975,0.08893860876560211,0.6900622248649597,0.8862311840057373,1.4706810518513924,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,28,2.271474838256836,0.3125,0.4375,0.3645833333333333,0.2948305971302956,0.365859205268502,0.3265268740740114,0.44676411151885986,0.06641611456871033,0.08861394971609116,0.6962078213691711,0.8813984394073486,1.471175528571101,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,29,2.550861358642578,0.25,0.3125,0.2777777777777778,0.2934856792163867,0.364258429110447,0.32506450798842446,0.4425435960292816,0.06673841923475266,0.08579894155263901,0.697295069694519,0.8737856149673462,1.4717420206895973,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,30,2.246583938598633,0.375,0.3125,0.3409090909090909,0.29593110883989504,0.36270567623713357,0.32593348984850823,0.44574689865112305,0.06676976382732391,0.0873674675822258,0.6987937092781067,0.8790009021759033,1.4717366799998368,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,31,2.3464136123657227,0.375,0.375,0.375,0.2983031755746982,0.36307450595001955,0.32751718456969964,0.44141775369644165,0.06654719263315201,0.08391650766134262,0.6964967846870422,0.8717492818832397,1.4717308580645383,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
q,1,32,2.221446990966797,0.3125,0.375,0.3409090909090909,0.29872908030745726,0.36343227077151896,0.32791943481665914,0.4397090673446655,0.06562377512454987,0.08343717455863953,0.7016257643699646,0.8692247867584229,1.4712273718746474,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
